idCycle;nameCycle;grade;family_idFamily
1;Sistemes microinformàtics i xarxes;Mitjà;1
2;Gestió administrativa;Mitjà;2
3;Electromecànica de vehicles automòbils;Mitjà;3
4;Manteniment electromecànics;Mitjà;4
5;Mecanització;Mitjà;5
6;Administració de sistemes informàtics en xarxa - orientat a Ciberseguretat;Superior;1
7;Desenvolupament d’aplicacions multiplataforma;Superior;1
8;Desenvolupament d’aplicacions web;Superior;1
9;Administració i finances;Superior;2
10;Assistència a la direcció;Superior;2
11;Automoció;Superior;3
12;Mecatrònica industrial;Superior;4
13;Programació de la producció en fabricació mecànica;Superior;5
14;Gestió de l’aigua;Superior;6
