timestamp;idOcupation;descriptionOcupation;cycle_idCycle
;1;a) Personal tècnic instal·lador-reparador d‘equips informà tics.;1
;2;b) Personal tècnic de suport informà tic. ;1
;3;c) Personal tècnic de suport informà tic. ;1
;4;d) Personal reparador de perifèrics de sistemes microinformà tics. ;1
;5;e) Comercials de microinformà tica. ;1
;6;f) Personal operador de teleassistència. ;1
;7;g) Personal operador de sistemes.;1
;8;a) Personal auxiliar administratiu.;2
;9;b) Personal ajudant d‘oficina. ;2
;10;c) Personal auxiliar administratiu de cobraments i pagaments;2
;11;d) Personal administratiu comercial. ;2
;12;e) Personal auxiliar administratiu de gestió de personal. ;2
;13;f) Personal auxiliar administratiu de les administracions pàºbliques. ;2
;14;g) Recepcionista. ;2
;15;h) Personal empleat d‘atenció al client. ;2
;16;i) Personal empleat de tresoreria. ;2
;17;j) Personal empleat de mitjans de pagament.;2
;18;a) Electronicistes de vehicles. ;3
;19;b) Electricistes electrònics de manteniment i reparació en automoció. ;3
;20;c) Personal mecà nic d‘automòbils. ;3
;21;d) Electricistes d‘automòbils. ;3
;22;e) Personal electromecà nic d‘automòbils. ;3
;23;f) Personal mecà nic de motors i els seus sistemes auxiliars d‘automòbils i motocicletes. ;3
;24;g) Personal reparador de sistemes pneumà tics i hidrà ulics. ;3
;25;h) Personal reparador de sistemes de transmissió i de frens. ;3
;26;i) Personal reparador de sistemes de direcció i suspensió. ;3
;27;j) Personal operari d‘ITV;3
;28;k) Personal instal·lador d‘accessoris en vehicles. ;3
;29;l) Personal operari d‘empreses dedicades a la fabricació de recanvis. ;3
;30;m) Personal electromecà nic de motocicletes.;3
;31;n) Personal venedor/distribuà¯dor de recanvis i d‘equips de diagnosi.;3
;32;a) Mecà nic de manteniment. ;4
;33;b) Muntador industrial. ;4
;34;c) Muntador d‘equips elèctrics. ;4
;35;d) Muntador d‘equips electrònics. ;4
;36;e) Mantenidor de línia automatitzada.;4
;37;f) Muntador de béns d‘equip. ;4
;38;g) Muntador d‘automatismes pneumà tics i hidrà ulics. ;4
;39;h) Instal·lador electricista industrial. ;4
;40;i) Electricista de manteniment i reparació d‘equips de control, mesura i precisió.;4
;41;a) Personal ajustador operari de mà quines eina. ;5
;42;b) Personal polidor de metalls i afilador d‘eines. ;5
